path	bytes	sha256_12	included_chars	truncated
docs/CDT.md	14776	8fb9bbf5e3bd	9248	False
docs/CHAOS-METRICS.md	12205	65938d4dcfc1	7880	False
docs/CHAOSSYNC.md	19353	4c44c2eb1ada	12036	True
docs/CITP-V3-PHANTOM-TTLS.md	4601	e4b6eac6e10f	3311	False
docs/KS-RESEARCH.md	4185	005d70c8b145	3943	False
docs/KS.md	42262	94d82045742b	12036	True
docs/NODE_DEPLOYMENT.md	5290	c1975af24b1d	5289	False
docs/PLAN-RU-SERVER.md	10752	182d1a334182	7058	False
docs/ROADMAP-CENSOR-TRANSPORT.md	19291	2b280281afb4	11718	False
skills/SKILL.md	7114	c6461c279bf4	4487	False
skills/references/citp-map.md	3155	39fb3a6948aa	2341	False
skills/references/honest-measurement.md	2781	55ebc35036f2	1697	False
skills/references/ks-chaossync-map.md	3484	463ad3bf67f2	2705	False
skills/references/open-fronts.md	2168	8e16fc6a9206	2167	False
protocol/INVARIANTS.md	4733	c32bb8636565	3036	False
protocol/auto-bypass-local.md	4542	d9fe2f60589b	4511	False
protocol/censor-profiling.md	8389	7ef2087af739	8370	False
protocol/control-fabric.md	4227	b25d55ff1571	4190	False
protocol/dns-binding.md	3185	606507efa096	2409	False
protocol/formal/README.md	857	4e07a544b48c	856	False
protocol/migration.md	4207	748e7fad1be1	3330	False
protocol/overview.md	4354	30d5f2770fe7	3372	False
protocol/reference_parser.py	4678	96a452632350	4614	False
protocol/refraction.md	1970	3f0c05736541	1964	False
protocol/security/EXTERNAL_CRYPTO_AUDIT_SCOPE.md	2472	dc85d8210f44	2471	False
protocol/security/THREAT_MODEL.md	1563	befa0e5c7125	1562	False
protocol/wire-format.md	5364	2cbb71e3276a	4563	False
cmd/cdt-client/main.go	4098	597cce25840a	3383	False
cmd/cdt-probe/main.go	8199	db2c17e534c6	6874	False
cmd/cdt-server/main.go	3743	143ec592f82d	2982	False
cmd/cdt-socks/main.go	12740	d28d4a5b50f4	11237	False
cmd/cdt-tun/main.go	10789	9565a202abaf	9219	False
cmd/cdt-vpn/main.go	8238	20df271b74e6	6832	False
cmd/cdt-vpn/tun.go	323	a8f3e49a1343	276	False
cmd/cdt-vpn/tun_linux.go	3114	61a4f2488d2c	2873	False
cmd/cham-client/main.go	4212	efabcc58fd26	3358	False
cmd/cham-deploy/main.go	11162	cdc04f94f3df	9620	False
cmd/cham-keygen/main.go	449	1761da7dca11	353	False
cmd/cham-server/cf_broadcast.go	5325	5438d2be011c	4502	False
cmd/cham-server/cf_broadcast_test.go	2904	853160b02651	2656	False
cmd/cham-server/main.go	23187	e07593baa284	12036	True
cmd/chamd/autopilot.go	31152	23084528c00c	12036	True
cmd/chamd/autopilot_fitness_test.go	1987	f7c5af9f046a	1804	False
cmd/chamd/autopilot_layers_test.go	4861	a7ad4c68d588	4361	False
cmd/chamd/autopilot_surrogate_test.go	2235	d5b4edf03e21	1984	False
cmd/chamd/autopilot_test.go	3032	82734b4e2d9e	2598	False
cmd/chamd/cover.go	12346	1ef0f761ad48	10314	False
cmd/chamd/dns.go	2638	2895e646cb38	2272	False
cmd/chamd/listen.go	3783	eb250774d2e8	3120	False
cmd/chamd/listen_test.go	2340	85c8bc20c418	2022	False
cmd/chamd/main.go	7589	43c93e0cf237	2149	True
