run,case,variant,offered_unique_valid,accepted,warm,resumed,late,first_rejected_valid_position,slots,max_slots,steps,high,gen,restores
main,burst-boundary,checkpoint-reset,160,160,32,128,0,,8192,8319,16543,8351,16543,0
main,burst-boundary,checkpoint-retain,160,160,32,128,0,,8192,8255,16543,8351,16543,0
main,burst-boundary,frontier,160,160,32,128,0,,8192,8319,16543,8351,16543,0
main,burst-boundary,legacy-16384,160,160,32,128,0,,16383,16383,16543,0,16543,0
main,burst-boundary,legacy-8192,160,160,32,128,0,,8191,8191,8351,0,8351,0
main,corruption-replay,checkpoint-reset,1,1,0,0,0,,8192,8192,8193,1,8193,0
main,corruption-replay,checkpoint-retain,1,1,0,0,0,,8192,8192,8193,1,8193,0
main,corruption-replay,frontier,1,1,0,0,0,,8192,8192,8193,1,8193,0
main,corruption-replay,legacy-16384,1,1,0,0,0,,16384,16384,16385,0,16385,0
main,corruption-replay,legacy-8192,1,1,0,0,0,,8192,8192,8193,0,8193,0
main,cumulative-loss,checkpoint-reset,20000,20000,0,0,0,,8256,8256,48192,40000,48192,0
main,cumulative-loss,checkpoint-retain,20000,20000,0,0,0,,8224,8224,48192,40000,48192,0
main,cumulative-loss,frontier,20000,20000,0,0,0,,8256,8256,48192,40000,48192,0
main,cumulative-loss,legacy-16384,20000,16383,0,0,0,32768,16384,16384,32767,0,32767,0
main,cumulative-loss,legacy-8192,20000,8191,0,0,0,16384,8192,8192,16383,0,16383,0
main,long-gap,checkpoint-reset,192,160,32,128,0,2,8192,8224,16576,32960,41152,1
main,long-gap,checkpoint-retain,192,192,32,128,32,,8192,8224,16576,32960,41152,1
main,long-gap,frontier,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
main,long-gap,legacy-16384,192,64,32,0,32,32833,16384,16384,16448,0,16448,0
main,long-gap,legacy-8192,192,64,32,0,32,32833,8192,8192,8256,0,8256,0
main,long-gap-no-checkpoint,checkpoint-reset,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
main,long-gap-no-checkpoint,checkpoint-retain,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
main,long-gap-no-checkpoint,frontier,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
main,long-gap-no-checkpoint,legacy-16384,192,64,32,0,32,32833,16384,16384,16448,0,16448,0
main,long-gap-no-checkpoint,legacy-8192,192,64,32,0,32,32833,8192,8192,8256,0,8256,0
main,no-loss,checkpoint-reset,256,256,0,0,0,,8192,8192,8448,256,8448,0
main,no-loss,checkpoint-retain,256,256,0,0,0,,8192,8192,8448,256,8448,0
main,no-loss,frontier,256,256,0,0,0,,8192,8192,8448,256,8448,0
main,no-loss,legacy-16384,256,256,0,0,0,,16383,16383,16639,0,16639,0
main,no-loss,legacy-8192,256,256,0,0,0,,8191,8191,8447,0,8447,0
confirmation,burst-boundary,checkpoint-reset,160,160,32,128,0,,8192,8319,16543,8351,16543,0
confirmation,burst-boundary,checkpoint-retain,160,160,32,128,0,,8192,8255,16543,8351,16543,0
confirmation,burst-boundary,frontier,160,160,32,128,0,,8192,8319,16543,8351,16543,0
confirmation,burst-boundary,legacy-16384,160,160,32,128,0,,16383,16383,16543,0,16543,0
confirmation,burst-boundary,legacy-8192,160,160,32,128,0,,8191,8191,8351,0,8351,0
confirmation,corruption-replay,checkpoint-reset,1,1,0,0,0,,8192,8192,8193,1,8193,0
confirmation,corruption-replay,checkpoint-retain,1,1,0,0,0,,8192,8192,8193,1,8193,0
confirmation,corruption-replay,frontier,1,1,0,0,0,,8192,8192,8193,1,8193,0
confirmation,corruption-replay,legacy-16384,1,1,0,0,0,,16384,16384,16385,0,16385,0
confirmation,corruption-replay,legacy-8192,1,1,0,0,0,,8192,8192,8193,0,8193,0
confirmation,cumulative-loss,checkpoint-reset,20000,20000,0,0,0,,8256,8256,48192,40000,48192,0
confirmation,cumulative-loss,checkpoint-retain,20000,20000,0,0,0,,8224,8224,48192,40000,48192,0
confirmation,cumulative-loss,frontier,20000,20000,0,0,0,,8256,8256,48192,40000,48192,0
confirmation,cumulative-loss,legacy-16384,20000,16383,0,0,0,32768,16384,16384,32767,0,32767,0
confirmation,cumulative-loss,legacy-8192,20000,8191,0,0,0,16384,8192,8192,16383,0,16383,0
confirmation,long-gap,checkpoint-reset,192,160,32,128,0,2,8192,8224,16576,32960,41152,1
confirmation,long-gap,checkpoint-retain,192,192,32,128,32,,8192,8224,16576,32960,41152,1
confirmation,long-gap,frontier,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
confirmation,long-gap,legacy-16384,192,64,32,0,32,32833,16384,16384,16448,0,16448,0
confirmation,long-gap,legacy-8192,192,64,32,0,32,32833,8192,8192,8256,0,8256,0
confirmation,long-gap-no-checkpoint,checkpoint-reset,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
confirmation,long-gap-no-checkpoint,checkpoint-retain,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
confirmation,long-gap-no-checkpoint,frontier,192,64,32,0,32,32833,8192,8224,8256,64,8256,0
confirmation,long-gap-no-checkpoint,legacy-16384,192,64,32,0,32,32833,16384,16384,16448,0,16448,0
confirmation,long-gap-no-checkpoint,legacy-8192,192,64,32,0,32,32833,8192,8192,8256,0,8256,0
confirmation,no-loss,checkpoint-reset,256,256,0,0,0,,8192,8192,8448,256,8448,0
confirmation,no-loss,checkpoint-retain,256,256,0,0,0,,8192,8192,8448,256,8448,0
confirmation,no-loss,frontier,256,256,0,0,0,,8192,8192,8448,256,8448,0
